bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJNA1138246,SRR29904433,SAMN42686924,public,2025-07-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human feces metagenome,9991,301,WGS,SAMN42686924,SRR29904433
PRJNA1045596,SRR34540143,SAMN49972063,public,2025-07-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,8651,215,WGS,SAMN49972063,SRR34540143
PRJNA1210004,SRR31985978,SAMN09656944,public,2025-05-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5738,270,WGS,SAMN09656944,SRR31985978
PRJEB79944,ERR15003798,SAMEA118336000,public,2025-05-22,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9988,289,WGS,SAMEA118336000,ERR15003798
PRJNA1099775,SRR33424078,SAMN48325185,public,2025-05-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,2596,284,WGS,SAMN48325185,SRR33424078
PRJNA1140720,SRR33526628,SAMN48435448,public,2025-07-07,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9836,298,WGS,SAMN48435448,SRR33526628
PRJNA1268045,SRR33701236,SAMN48741962,public,2025-05-26,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9928,302,WGS,SAMN48741962,SRR33701236
PRJEB89837,ERR15009347,SAMEA118350928,public,2025-06-21,METAGENOMIC,unspecified,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,6995,601,WGS,SAMEA118350928,ERR15009347
PRJNA1266263,SRR33660341,SAMN48672170,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq X,human gut metagenome,8450,260,WGA,SAMN48672170,SRR33660341
PRJDB18384,DRR576708,SAMD00797967,public,2025-06-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9225,298,WGS,SAMD00797967,DRR576708
PRJEB83971,ERR14118117,SAMEA117571045,public,2025-06-13,METAGENOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5285,297,WGS,SAMEA117571045,ERR14118117
PRJNA1287223,SRR34389142,SAMN49814633,public,2025-07-06,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human gut metagenome,9927,277,WGS,SAMN49814633,SRR34389142
PRJNA1259758,SRR33524348,SAMN48372047,public,2025-06-06,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9997,300,WGS,SAMN48372047,SRR33524348
PRJEB76665,ERR13324458,SAMEA115779111,public,2025-05-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human gut metagenome,8499,267,WGS,SAMEA115779111,ERR13324458
PRJNA1133690,SRR29825764,SAMN42383821,public,2025-05-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,7100,302,WGS,SAMN42383821,SRR29825764
PRJNA1259758,SRR33524362,SAMN48372034,public,2025-06-06,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9960,300,WGS,SAMN48372034,SRR33524362
PRJNA1169674,SRR34587164,SAMN47504812,public,2025-07-19,METAGENOMIC,size fractionation,PAIRED,ILLUMINA,Illumina NovaSeq X,human gut metagenome,8268,300,WGS,SAMN47504812,SRR34587164
PRJNA1177516,SRR31487346,SAMN44592562,public,2025-06-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human feces metagenome,9923,299,WGS,SAMN44592562,SRR31487346
PRJDB18384,DRR576704,SAMD00797963,public,2025-06-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,8584,298,WGS,SAMD00797963,DRR576704
PRJNA1177516,SRR31487503,SAMN44592616,public,2025-06-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human feces metagenome,9812,297,WGS,SAMN44592616,SRR31487503
PRJNA1227883,SRR33744997,SAMN47606073,public,2025-05-29,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,9771,296,WGS,SAMN47606073,SRR33744997
PRJNA1210004,SRR31985976,SAMN09656995,public,2025-05-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5584,270,WGS,SAMN09656995,SRR31985976
PRJNA1015704,SRR26165556,SAMN37384175,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human gut metagenome,6131,299,WGS,SAMN37384175,SRR26165556
PRJNA681337,SRR13172284,SAMN16949499,public,2025-07-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5723,288,WGS,SAMN16949499,SRR13172284
PRJNA1122128,SRR29386018,SAMN41801541,public,2025-07-14,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9082,302,WGS,SAMN41801541,SRR29386018
PRJNA1224809,SRR32373041,SAMN46867635,public,2025-05-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9983,302,WGS,SAMN46867635,SRR32373041
PRJNA1122128,SRR29386030,SAMN41801530,public,2025-07-14,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9679,302,WGS,SAMN41801530,SRR29386030
PRJEB72526,ERR15204861,SAMEA118674679,public,2025-07-07,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,unspecified,human gut metagenome,9381,296,WGS,SAMEA118674679,ERR15204861
PRJNA1132291,SRR29718141,SAMN42339490,public,2025-06-02,METATRANSCRIPTOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,9067,247,RNA-Seq,SAMN42339490,SRR29718141
PRJNA1267192,SRR33686720,SAMN48714013,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,4999,252,WGS,SAMN48714013,SRR33686720
PRJNA1056768,SRR28073279,SAMN39680638,public,2025-06-30,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9979,302,WGS,SAMN39680638,SRR28073279
PRJEB83971,ERR14112678,SAMEA117571035,public,2025-06-13,METAGENOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5414,296,WGS,SAMEA117571035,ERR14112678
PRJNA1099775,SRR33424121,SAMN48325146,public,2025-05-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,2446,284,WGS,SAMN48325146,SRR33424121
PRJEB63587,ERR13242987,SAMEA115711808,public,2025-06-27,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,unspecified,human gut metagenome,5004,300,OTHER,SAMEA115711808,ERR13242987
PRJNA1125469,SRR32138686,SAMN46385688,public,2025-05-07,METAGENOMIC,size fractionation,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9451,298,WGS,SAMN46385688,SRR32138686
PRJNA1015704,SRR26165557,SAMN37384174,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human gut metagenome,8492,299,WGS,SAMN37384174,SRR26165557
PRJNA1274164,SRR33963741,SAMN49039742,public,2025-06-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,7300,297,WGS,SAMN49039742,SRR33963741
PRJNA1120650,SRR29709803,SAMN41705826,public,2025-06-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina MiSeq,human gut metagenome,9895,302,WGS,SAMN41705826,SRR29709803
PRJEB76665,ERR13324396,SAMEA115779049,public,2025-05-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human gut metagenome,8907,230,WGS,SAMEA115779049,ERR13324396
PRJNA1056768,SRR28073295,SAMN39680624,public,2025-06-30,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9983,302,WGS,SAMN39680624,SRR28073295
PRJNA1268044,SRR33701470,SAMN48741839,public,2025-05-27,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 1000,human gut metagenome,9947,301,WGS,SAMN48741839,SRR33701470
PRJEB72526,ERR15198115,SAMEA115285175,public,2025-07-04,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,unspecified,human gut metagenome,9271,277,WGS,SAMEA115285175,ERR15198115
PRJNA1140720,SRR33526678,SAMN48435289,public,2025-07-07,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9855,299,WGS,SAMN48435289,SRR33526678
PRJNA1268045,SRR33701102,SAMN48742036,public,2025-05-26,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,6788,302,WGS,SAMN48742036,SRR33701102
PRJEB63587,ERR13074142,SAMEA115576726,public,2025-06-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,unspecified,human gut metagenome,5004,300,OTHER,SAMEA115576726,ERR13074142
PRJNA1169674,SRR34587162,SAMN47504813,public,2025-07-19,METAGENOMIC,size fractionation,PAIRED,ILLUMINA,Illumina NovaSeq X,human gut metagenome,7601,300,WGS,SAMN47504813,SRR34587162
PRJNA1133690,SRR29825779,SAMN42383750,public,2025-05-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9512,302,WGS,SAMN42383750,SRR29825779
PRJEB76399,ERR13252908,SAMEA115716324,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human feces metagenome,9866,300,OTHER,SAMEA115716324,ERR13252908
PRJEB76399,ERR13254227,SAMEA115716255,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human feces metagenome,9811,300,OTHER,SAMEA115716255,ERR13254227
PRJNA1221235,SRR32277432,SAMN46734887,public,2025-07-16,GENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,9718,302,WGS,SAMN46734887,SRR32277432
PRJNA1259152,SRR33441915,SAMN48353750,public,2025-06-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9859,286,WGS,SAMN48353750,SRR33441915
PRJNA1099775,SRR33424143,SAMN48325214,public,2025-05-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,2333,282,WGS,SAMN48325214,SRR33424143
PRJNA1259152,SRR33442657,SAMN48354553,public,2025-06-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9791,285,WGS,SAMN48354553,SRR33442657
PRJEB89837,ERR15009342,SAMEA118350923,public,2025-06-20,METAGENOMIC,unspecified,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,4429,300,WGS,SAMEA118350923,ERR15009342
PRJNA1120650,SRR29709846,SAMN41705787,public,2025-06-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina MiSeq,human gut metagenome,9767,302,WGS,SAMN41705787,SRR29709846
PRJNA1140720,SRR33526932,SAMN48435311,public,2025-07-07,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9826,298,WGS,SAMN48435311,SRR33526932
PRJEB76399,ERR13258358,SAMEA115716325,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human feces metagenome,9885,300,OTHER,SAMEA115716325,ERR13258358
PRJEB76665,ERR13324453,SAMEA115779106,public,2025-05-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human gut metagenome,8562,243,WGS,SAMEA115779106,ERR13324453
PRJNA1273620,SRR33880681,SAMN48951781,public,2025-06-09,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,7834,496,WGS,SAMN48951781,SRR33880681
PRJNA1269031,SRR33735420,SAMN48774457,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human gut metagenome,1442,293,WGS,SAMN48774457,SRR33735420
PRJNA1210004,SRR31985932,SAMN09656926,public,2025-05-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5161,263,WGS,SAMN09656926,SRR31985932
PRJNA1269031,SRR33735382,SAMN48774303,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human gut metagenome,1507,294,WGS,SAMN48774303,SRR33735382
PRJNA1125469,SRR32138707,SAMN46385582,public,2025-05-07,METAGENOMIC,size fractionation,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9238,295,WGS,SAMN46385582,SRR32138707
PRJNA681337,SRR13172269,SAMN16949513,public,2025-07-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,6169,287,WGS,SAMN16949513,SRR13172269
PRJDB18854,DRR597706,SAMD00608496,public,2025-05-09,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9744,299,WGS,SAMD00608496,DRR597706
PRJNA486009,SRR24204188,SAMN34233854,public,2025-06-04,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,human gut metagenome,3603,273,WGS,SAMN34233854,SRR24204188
PRJNA1045596,SRR34539815,SAMN49972105,public,2025-07-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,5972,222,WGS,SAMN49972105,SRR34539815
PRJNA1227883,SRR33842717,SAMN47606215,public,2025-06-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,9782,292,WGS,SAMN47606215,SRR33842717
PRJDB18359,DRR576658,SAMD00797386,public,2025-06-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9819,298,WGS,SAMD00797386,DRR576658
PRJNA1287223,SRR34389166,SAMN49814640,public,2025-07-06,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human gut metagenome,9828,277,WGS,SAMN49814640,SRR34389166
PRJNA1169674,SRR34587184,SAMN47504803,public,2025-07-19,METAGENOMIC,size fractionation,PAIRED,ILLUMINA,Illumina NovaSeq X,human gut metagenome,8377,300,WGS,SAMN47504803,SRR34587184
PRJNA1273620,SRR33880801,SAMN48951516,public,2025-06-09,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,7486,496,WGS,SAMN48951516,SRR33880801
PRJNA681337,SRR13172267,SAMN16949514,public,2025-07-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5638,293,WGS,SAMN16949514,SRR13172267
PRJNA1120650,SRR29709797,SAMN41705832,public,2025-06-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina MiSeq,human gut metagenome,9836,302,WGS,SAMN41705832,SRR29709797
PRJNA1257550,SRR33512503,SAMN48325003,public,2025-05-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9988,292,WGS,SAMN48325003,SRR33512503
PRJNA1214038,SRR32075411,SAMN46356898,public,2025-06-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,2585,297,WGS,SAMN46356898,SRR32075411
PRJNA1132291,SRR29718508,SAMN42339501,public,2025-06-02,METATRANSCRIPTOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,9599,249,RNA-Seq,SAMN42339501,SRR29718508
PRJNA1268044,SRR33701542,SAMN48741921,public,2025-05-27,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9984,295,WGS,SAMN48741921,SRR33701542
PRJNA1274164,SRR33963773,SAMN49039713,public,2025-06-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9312,293,WGS,SAMN49039713,SRR33963773
PRJNA1221235,SRR32277413,SAMN46734926,public,2025-07-16,GENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,9765,302,WGS,SAMN46734926,SRR32277413
PRJNA1224809,SRR32373071,SAMN46867738,public,2025-05-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9920,302,WGS,SAMN46867738,SRR32373071
PRJEB90858,ERR15143231,SAMEA118585195,public,2025-07-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human feces metagenome,9124,189,OTHER,SAMEA118585195,ERR15143231
PRJNA1111475,SRR29213214,SAMN41394153,public,2025-02-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9183,302,WGS,SAMN41394153,SRR29213214
PRJNA1134112,SRR29763452,SAMN42393321,public,2024-07-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9956,302,WGS,SAMN42393321,SRR29763452
PRJNA1211286,SRR32020035,SAMN46271831,public,2025-04-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,6518,279,WGS,SAMN46271831,SRR32020035
PRJNA935265,SRR23704109,SAMN33331109,public,2025-01-20,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 4000,human skin metagenome,6942,302,WGS,SAMN33331109,SRR23704109
PRJEB39614,ERR4384007,SAMEA7094279,public,2021-03-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9310,252,WGS,SAMEA7094279,ERR4384007
PRJNA659776,SRR12542659,SAMN15925785,public,2021-09-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human skin metagenome,9751,302,WGS,SAMN15925785,SRR12542659
PRJNA1155269,SRR30883054,SAMN43494643,public,2024-11-25,GENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,5320,236,WGS,SAMN43494643,SRR30883054
PRJNA763232,SRR15899484,SAMN21436454,public,2021-09-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,7030,274,WGS,SAMN21436454,SRR15899484
PRJNA415710,SRR6216778,SAMN07833465,public,2018-12-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human skin metagenome,4133,278,WGS,SAMN07833465,SRR6216778
PRJNA604820,SRR17548787,SAMN21207574,public,2022-01-12,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,8227,302,WGS,SAMN21207574,SRR17548787
PRJNA855020,SRR19981804,SAMN29478169,public,2022-07-05,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,HiSeq X Ten,human skin metagenome,9785,300,RNA-Seq,SAMN29478169,SRR19981804
PRJNA558989,SRR9965901,SAMN12509001,public,2020-08-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,3503,302,WGS,SAMN12509001,SRR9965901
PRJNA558989,SRR9965905,SAMN12508997,public,2020-08-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,8978,302,WGS,SAMN12508997,SRR9965905
PRJNA855020,SRR19981808,SAMN29478165,public,2022-07-05,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,HiSeq X Ten,human skin metagenome,9274,300,RNA-Seq,SAMN29478165,SRR19981808
PRJNA872116,SRR21974035,SAMN30890149,public,2023-06-29,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,8928,302,WGS,SAMN30890149,SRR21974035
PRJNA415710,SRR6216751,SAMN07833452,public,2018-12-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human skin metagenome,1393,273,WGS,SAMN07833452,SRR6216751
PRJNA763232,SRR15899422,SAMN21436511,public,2021-09-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,7238,249,WGS,SAMN21436511,SRR15899422
PRJNA732527,SRR14741626,SAMN19580724,public,2025-06-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9860,195,WGS,SAMN19580724,SRR14741626
PRJEB39614,ERR4384006,SAMEA7094278,public,2021-03-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,8984,252,WGS,SAMEA7094278,ERR4384006
PRJEB67362,ERR12160680,SAMEA114404540,public,2023-10-27,METAGENOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq X,human skin metagenome,5189,302,WGS,SAMEA114404540,ERR12160680
PRJNA1134112,SRR29763433,SAMN42393238,public,2024-07-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9765,302,WGS,SAMN42393238,SRR29763433
PRJNA1134112,SRR29763358,SAMN42393483,public,2024-07-10,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9656,302,WGS,SAMN42393483,SRR29763358
PRJNA937066,SRR23595627,SAMN33388228,public,2023-09-24,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq X,human skin metagenome,7861,302,WGS,SAMN33388228,SRR23595627
PRJNA642893,SRR12173445,SAMN15405829,public,2021-03-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9835,302,WGS,SAMN15405829,SRR12173445
PRJEB39614,ERR4384001,SAMEA7094273,public,2021-03-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9106,252,WGS,SAMEA7094273,ERR4384001
PRJEB67362,ERR12160690,SAMEA114404550,public,2023-10-27,METAGENOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq X,human skin metagenome,5659,302,WGS,SAMEA114404550,ERR12160690
PRJNA732527,SRR14741585,SAMN19580632,public,2025-06-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human skin metagenome,9998,192,WGS,SAMN19580632,SRR14741585
PRJNA642893,SRR12173680,SAMN15405858,public,2021-03-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,9445,302,WGS,SAMN15405858,SRR12173680
PRJNA1155269,SRR30883069,SAMN43494687,public,2024-11-25,GENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human skin metagenome,4797,269,WGS,SAMN43494687,SRR30883069
PRJNA506988,SRR8247761,SAMN10478133,public,2018-11-29,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina HiSeq 4000,human skin metagenome,5591,290,WGA,SAMN10478133,SRR8247761
